City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,prince rupert,54.3161,-130.3201,12.05,96,100,4.12,CA,1695835399
1,jiuquan,39.7432,98.5174,14.29,25,4,3.01,CN,1695835400
2,edinburgh of the seven seas,-37.0676,-12.3116,11.54,72,46,12.71,SH,1695835400
3,yeraliyev,43.2,51.65,21.07,38,0,3.05,KZ,1695835401
4,posto fiscal rolim de moura,-13.0833,-62.2667,40.42,21,34,1.98,BR,1695835401
5,ushuaia,-54.8,-68.3,5.79,48,0,2.57,AR,1695835286
6,beihai,21.4833,109.1,26.69,88,100,5.05,CN,1695835402
7,enewetak,11.3474,162.3373,28.62,77,99,6.37,MH,1695835402
8,puerto natales,-51.7236,-72.4875,2.25,80,100,1.03,CL,1695835403
9,kalix,65.853,23.1565,11.7,98,100,6.72,SE,1695835403
10,grytviken,-54.2811,-36.5092,2.12,82,9,3.73,GS,1695835404
11,nadi,-17.8,177.4167,22.47,94,100,3.47,FJ,1695835267
12,adamstown,-25.066,-130.1015,20.93,63,99,5.24,PN,1695835386
13,waitangi,-43.9535,-176.5597,11.01,97,100,5.36,NZ,1695835400
14,tank,32.2217,70.3793,32.49,17,0,1.42,PK,1695835405
15,thompson,55.7435,-97.8558,19.09,68,75,6.17,CA,1695835406
16,weatherford,32.7593,-97.7972,33.77,40,0,0.89,US,1695835406
17,albany,42.6001,-73.9662,19.96,60,59,1.34,US,1695835407
18,ataq,14.5377,46.8319,26.46,63,47,5.24,YE,1695835407
19,mogocha,53.7333,119.7667,3.65,86,31,2.37,RU,1695835407
20,klaksvik,62.2266,-6.589,10.51,91,78,5.75,FO,1695835408
21,west island,-12.1568,96.8225,24.99,83,40,4.63,CC,1695835409
22,stanley,54.868,-1.6985,16.51,95,20,3.6,GB,1695835409
23,kalabagh,32.965,71.557,31.98,29,0,1.75,PK,1695835410
24,port-aux-francais,-49.35,70.2167,1.73,71,76,13.8,TF,1695835410
25,papatowai,-46.5619,169.4708,4.35,93,100,1.97,NZ,1695835411
26,bakanas,44.8081,76.2772,18.1,37,0,4.61,KZ,1695835412
27,tiksi,71.6872,128.8694,-2.13,70,98,2.54,RU,1695835412
28,nar'yan-mar,67.6713,53.087,7.43,90,100,7.53,RU,1695835412
29,puerto ayora,-0.7393,-90.3518,28.98,89,98,4.02,EC,1695835413
